bathsong.mp4,beachsong.mp4,bedtime.mp4,brother_bear.mp4,dog.mp4,forest.mp4,kids_kitchen.mp4,minions_supermarket.mp4,moana.mp4,new_orleans.mp4,our_planet.mp4,pingu.mp4,playground.mp4,ratatouille.mp4,real_cars.mp4,rio_jungle_jig.mp4,up_kevin_nonsocial.mp4,up_kevin_social.mp4
1760707.38674758,1246031.27415251,1655392.40886088,1603236.78979139,3829870.9871373,6325506.62915128,1702708.28683791,2500259.76221619,1119474.3621548,2546171.45314546,1264655.73782289,1569071.40958799,4019922.76115382,2600199.44359953,2061983.60897546,1300593.21721628,1730621.83003191,2517338.87318763
1774769.00235559,736101.165019378,1652163.70295845,1545980.1996832,3523249.18933338,6034008.17098102,1860894.89580097,2351540.7353019,1834490.03206976,2429010.65132536,1243564.0283952,1074751.03686193,3895570.26824359,3565326.13019701,2012284.42362007,1428073.79967124,1268300.03928378,2127874.33159792
1943548.39765325,1086148.47162826,1670868.06470576,1385948.28750786,2615672.66788257,5028842.50973864,2115879.77986599,1837856.70300348,2467866.39236861,2482527.16783139,1186774.47311405,1284143.37540071,3378824.14308919,3752742.33477544,1950208.06649284,1450004.58861076,1762446.85695598,1951495.36830299
2271322.59423371,1882893.19322291,1713503.69990713,1452420.73084992,2104372.21501953,4680726.16212049,1959482.91005775,1703020.09161102,2698241.53766261,2500160.25776154,1134328.51894104,1637769.40255726,3224603.0016124,2798328.89608821,1930947.95516431,1544912.11387873,2002747.4521387,2000115.98487053
2313015.61531555,2204181.58366681,1545261.85509287,1383290.1327625,2270725.64482746,4771067.10920764,1232910.59850111,2134679.36759242,2705602.62516415,2716478.37148964,1144714.64116935,1552759.84947402,2738388.25450437,1693354.95084073,1971371.319086,1520844.86026445,1681163.87024028,2196250.87076396
2204450.35420738,2067961.745322,1357069.0566364,1177365.66366082,2128870.94803588,5625344.29694184,1165572.09410496,2403719.41685555,2687221.08805925,2790298.25592409,1172155.64997962,1440189.57098678,2324515.98842894,1945969.5463524,2091628.95857993,1513656.07100109,1499689.62721828,2251679.35739865
2090570.88377263,2513591.30969286,1321882.6822417,1031281.00038555,1911426.8459557,6345987.3409282,1562079.96008613,2371896.66868598,2580513.42928891,2570339.53128715,2392237.87862318,1783899.38741884,2283975.90585639,2213478.22687201,1905305.36461727,1561095.04642334,1658577.59687749,2213504.78247615
2046672.95066484,2982751.80887098,1391227.93067715,1052638.02522932,2201170.73112314,6262598.01823791,1589823.59671006,3174481.9204093,2436716.27177039,1964101.75132341,3217860.54834372,2220237.51939382,2052476.42170694,1707535.19278424,1396208.56629298,1865830.57780989,1693644.88176219,2062298.44675136
2056858.88106375,3270700.87376814,1664741.15783061,1412374.83498405,2155717.66916854,6397684.08690474,1515354.41698854,3626839.79057145,2336132.84204591,1809054.1304104,3414703.01083469,2178395.08778798,2124885.39835637,932600.872029868,1354754.18865251,1956109.9171847,1717000.76891086,2011232.784551
2063504.91231201,3320896.9814817,1957808.33689212,1544905.04964313,2201499.98529663,5759050.8035208,1560947.63585351,3266459.89060633,2064350.25106483,1848147.9581498,3361387.91017479,1432686.3877425,2180997.5373433,1447720.05254096,1427010.34907989,1889909.19841987,1553303.50200773,2084322.14869278
2034937.21492689,2708732.19070837,1965438.02643785,1142471.62059678,1987593.94398145,4131220.73749374,1935194.99450095,3768272.98141458,1712012.57463806,1686698.85798776,3301793.60722117,1263476.2361118,3064869.74941809,1848572.76344049,1484109.46455621,1887992.93900457,1251647.35072484,2096827.79351294
2030528.09660629,2454531.69821796,1859740.02492772,1194247.95566565,2543957.13968804,2851961.51611552,2012285.99654265,3531386.57599337,1372937.68719197,1776937.87306635,3190230.81121556,1354461.84070738,3008307.34020732,2095856.52927904,1684771.28523559,1825892.27005763,1182943.54769222,2251019.36957954
2011657.09467531,2730803.77839513,1678512.11946931,1298095.46808441,2918357.33928203,2690890.92232513,1898582.43462884,2616086.26340694,1361163.36991652,1703879.03524841,3018248.51909643,1434933.27967989,2176709.49220302,2058851.90654988,2318150.29647702,1565983.09934846,1192939.27046548,2721509.36950681
1977583.53711169,2420786.34307587,1440715.61532535,955165.744339709,2948610.85227663,3706876.52106558,1880142.97544863,2365137.79079652,1503905.8774485,1911127.19476622,3123812.39425726,1354889.93746266,2435429.09619415,1411157.69482842,2433517.40104315,1162381.44826987,1168438.43526564,2769065.40726086
1945798.08486657,2055693.85493034,1349842.91645837,862727.233079333,2076411.28250512,4765726.07123337,1819222.26887374,2676923.75880562,1557743.15107825,1843121.22815958,3181542.18463713,1434383.3432453,3055781.32110582,2060526.51647086,2192680.58501742,1133729.09694799,1588915.7327728,2995950.84001469
1923350.11179671,1509398.86695971,1263751.59444049,845400.800973868,1918497.64938097,5119733.61720461,1580163.76310366,2315510.99932754,1478583.53346832,1648860.41911682,3114724.62158068,1471281.13339298,3219739.08804835,2436350.2452545,2063116.01879846,1438003.69059067,1807141.30195772,3096452.3360744
2046425.01600235,1482308.87772281,1270322.84512225,795544.829764065,1886715.78328023,4355019.97981645,1254620.57182907,1836761.61288805,1392686.34124547,1655978.15718464,3191386.64519331,1710297.30900727,3309197.41531956,2976676.40630179,2029593.24559825,1703758.52048129,1420702.84832123,2600025.14034945
2033764.74127573,900118.491825628,1391479.51323625,873298.450167062,1878054.52897438,4993502.40226324,2045080.55089327,1916928.186845,2079585.76812156,1877626.89774023,3408771.49865094,1541324.58522851,3423383.44622114,3224519.52903469,1984182.15955933,1958651.21126538,1159194.88765342,2443763.00207192
2007257.38195486,1326201.56010878,1350173.71587665,1411768.2359132,2317705.874166,5696095.06068518,2384152.15846449,2068349.17978115,2273498.03772523,1628456.71359581,3523186.28375291,1451031.36543657,3130785.70673001,3331698.79564352,2211023.74585193,2053947.92422859,1369504.73668523,2868200.59208556
1950512.02337919,2437807.60996744,1343534.83999635,1540577.73200808,2533892.09887717,5937160.05948926,2169992.35189522,2128403.96387262,2312979.47237206,1745903.7117006,3505998.21196902,2067313.50928865,2221694.98725713,2946889.79128354,2292430.16373878,1723396.41238318,1347525.14767379,2742743.03383374
1938447.35285211,3002372.55620575,1556472.28078395,1277390.50597261,2382833.42008664,6002562.8900275,2068353.21652633,2085695.8909889,2235292.50831307,2005640.47665768,3611598.6120764,1809772.86892997,2276764.06987755,2038231.28437688,2312078.88061793,1167623.78298678,1410770.950608,2825256.31468611
